"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","cancellation_date","cancellation_time_local","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","fulfillment_type","customer_type","gh_plus_customer","cancellation_issue","cancellation_reason","avoidable_cancellation","voided_order_subtotal","voided_self_delivery_charge","voided_merchant_fees","voided_sales_tax","voided_tip","voided_order_total","transaction_id","transaction_note"
"Marketplace","355831167501870","2025-09-24","11:56:12 PM","Wednesday","11 PM","America/New_York","2025-09-25","12:24:39 AM","2715414",,"Amore Italian Desserts","59 4th Ave  ","New York","NY","10003","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-9.89","0.00","0.00","-0.88","0.00","-10.77","CQMAAAAAAClvFrZBg1CZwRHwg1GFbliBTP0AAAAB","Restaurant cannot fulfill order"
"Marketplace","782031156088807","2025-09-24","07:44:01 AM","Wednesday","7 AM","America/New_York","2025-09-24","08:21:00 AM","10559376","EASTERN AVE","Luke's Breakfast Club","7825 Eastern Ave NW  ","Silver Spring","MD","20910","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-13.99","0.00","0.00","-0.84","0.00","-14.83","CQMAAAAAAKEfkKk2ZYCZOxHwpYGR6YEzqjAAAAAB","Cancelled by Merchant"
"Marketplace","174731268730225","2025-10-05","12:53:06 PM","Sunday","12 PM","America/New_York","2025-10-05","01:33:00 PM","7752192","DC Taco & Wings - 1406 Florida Ave NW","First Light Breakfast Cafe","1406 Florida Ave NW  ","Washington","DC","20009","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-21.16","0.00","0.00","-1.27","0.00","-22.43","CQMAAAAAAHZKAJY2qTCiCxHwqTHrfSzpqLsAAAAB",
"Marketplace","904231189639813","2025-09-27","01:17:46 PM","Saturday","1 PM","America/New_York","2025-09-27","01:47:00 PM","4510336","937 1st Avenue","Jay's Breakfast Bar","937 1st Ave.  ","New York","NY","10022","Corporate","Grubhub Delivery","Loyal","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-29.76","0.00","0.00","-2.20","0.00","-31.96","CQMAAAAAAETSgNMxlTabxRHwlTczCPtKV8oAAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","355831167505736","2025-09-24","08:37:04 PM","Wednesday","8 PM","America/New_York","2025-09-24","09:16:00 PM","2776714",,"LV Taco Bar (1st Ave)","1741 1st Avenue  ","New York","NY","10128","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-19.78","0.00","0.00","-1.76","0.00","-21.54","CQMAAAAAACpeipVtk-CZpxHwk-H_uXXZ178AAAAB","Cancelled by Merchant"
"Marketplace","997331132659426","2025-09-22","11:30:00 AM","Monday","11 AM","America/New_York","2025-09-22","11:30:00 AM","2786543",,"Top Panini Shop (Lexington Ave)","1101 Lexington Ave  ","New York","NY","10075","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-24.07","0.00","0.00","-1.69","0.00","-25.76","CQMAAAAAACqE7wt89fCXvBHwtfEz0NF5zY8AAAAB",
"Marketplace","242131215024595","2025-09-30","06:46:38 PM","Tuesday","6 PM","America/New_York","2025-09-30","07:28:00 PM","9813472","1855 Palm Beach Lakes Blvd","Sicily's Calzone House","1855 Palm Beach Lakes Blvd  ","West Palm Beach","FL","33401","Corporate","Grubhub Delivery","Loyal","GH+","Transmission Issues","POS Failed Order","Yes","-15.38","0.00","0.00","-0.73","0.00","-16.11","CQMAAAAAAJW94CAYsyCeTxHwsyEvYMAFeFcAAAAB",
"Marketplace","407431193936201","2025-09-27","09:26:41 PM","Saturday","9 PM","America/New_York","2025-09-27","10:07:00 PM","4515648","1741 1st Avenue","Nomad's Bagels","1741 1st Ave.  ","New York","NY","10128","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-31.05","0.00","0.00","-2.31","0.00","-33.36","CQMAAAAAAETnQKpSsLCcCRHwsLGpTQtXAGwAAAAB","Cancelled by Merchant"
"Marketplace","003731208029255","2025-09-29","02:56:23 PM","Monday","2 PM","America/Chicago","2025-09-29","03:43:00 PM","3310407","E Arapaho Rd #F","Master Yamamoto Ramen Bar","1401 E Arapaho Rd  ","Richardson","TX","75081","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Order Picked Up By Another Driver","Yes","-46.87","0.00","0.00","-3.45","0.00","-50.32","CQMAAAAAADKDR_9LgeSdbRHwgeWTG1C0rkwAAAAB",
"Marketplace","957031277778386","2025-10-05","08:19:29 PM","Sunday","8 PM","America/New_York","2025-10-05","08:58:00 PM","5850288","1st Avenue","Tessa's Fruity Treats","1741 1st Ave.  ","New York","NY","10128","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-18.76","0.00","0.00","-1.25","0.00","-20.01","CQMAAAAAAFlEsJ4ejQCiSRHwjQFlEmzDHtkAAAAB",
"Marketplace","443831247759647","2025-10-03","12:48:22 AM","Friday","12 AM","America/New_York","2025-10-03","01:30:00 AM","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","Corporate","Grubhub Delivery","Loyal","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-16.78","0.00","0.00","-1.05","0.00","-17.83","CQMAAAAAAFp9AJ0Xe3CgExHwu3GDJ3Sf_YoAAAAB",
"Marketplace","328131267082195","2025-10-04","09:46:35 PM","Saturday","9 PM","America/Los_Angeles","2025-10-04","10:15:00 PM","8568800",,"Danny's Desserts","9061 Van Nuys Blvd  ","Los Angeles","CA","91402","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-13.98","0.00","0.00","-1.36","0.00","-15.34","CQMAAAAAAIK_4CLyQHChphHwgHF5bdclHesAAAAB",
"Marketplace","753931268112675","2025-10-05","12:45:38 PM","Sunday","12 PM","America/New_York","2025-10-05","01:25:00 PM","9813472","1855 Palm Beach Lakes Blvd","Sicily's Calzone House","1855 Palm Beach Lakes Blvd  ","West Palm Beach","FL","33401","Corporate","Grubhub Delivery","Loyal","GH+","Transmission Issues","POS Failed Order","Yes","-15.38","0.00","0.00","-0.73","0.00","-16.11","CQMAAAAAAJW94BXNPLCiChHwvLG9FVvEiPQAAAAB",
"Marketplace","208131183711143","2025-09-27","02:06:29 PM","Saturday","2 PM","America/Phoenix","2025-09-27","02:46:00 PM","5314872","Golden Restaurant and Bakery-1849 N Scottsdale Rd","The Crimson Gyro","1849 N Scottsdale Rd  ","Scottsdale","AZ","85288","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-16.28","0.00","0.00","-0.97","0.00","-17.25","CQMAAAAAAFEZOMZXH-Cb5RHwn-FxoTLXyP4AAAAB",
"Marketplace","416931246038460","2025-10-03","07:42:43 PM","Friday","7 PM","America/New_York","2025-10-03","08:40:56 PM","6539952","The Ugly Mug - 723 8th St SE","The Calzone Empire","723 8th St SE  ","Washington","DC","20003","Corporate","Grubhub Delivery","Returning","non GH+","Restaurant Issues","Restaurant cannot fulfill order","Yes","-15.99","0.00","0.00","-0.96","0.00","-16.95","CQMAAAAAAGPKsGA_nVCgshHwnVH_qMVuhp4AAAAB","Restaurant cannot fulfill order"
"Marketplace","942131172924454","2025-09-25","10:02:27 PM","Thursday","10 PM","America/New_York","2025-09-25","10:44:00 PM","3311350","N Broadway","Fried Chicken Savage","854 N Broadway  ","White Plains","NY","10603","Corporate","Grubhub Delivery","Returning","non GH+","Restaurant Issues","Restaurant Is Closed","Yes","-26.17","0.00","0.00","-1.77","0.00","-27.94","CQMAAAAAADKG9qxeaoCaLRHwqoGXdc2RmfsAAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","063131158627842","2025-09-24","08:04:19 AM","Wednesday","8 AM","America/New_York","2025-09-24","08:47:00 AM","10929320","E 125th St","The Mexican Cocina","135 E 125th St  ","New York","NY","10035","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-23.06","0.00","0.00","-1.60","0.00","-24.66","CQMAAAAAAKbEqK9SWjCZPRHwmjFpqwUbTmgAAAAB","Cancelled by Merchant"
"Marketplace","338931200968417","2025-09-29","05:16:20 PM","Monday","5 PM","America/New_York","2025-09-29","05:58:00 PM","9813472","1855 Palm Beach Lakes Blvd","Sicily's Calzone House","1855 Palm Beach Lakes Blvd  ","West Palm Beach","FL","33401","Corporate","Grubhub Delivery","Loyal","GH+","Transmission Issues","POS Failed Order","Yes","-15.38","0.00","0.00","-0.73","0.00","-16.11","CQMAAAAAAJW94Gg5YYCdeRHwoYElEpqdKP4AAAAB",
"Marketplace","959031195865779","2025-09-28","12:42:34 AM","Sunday","12 AM","America/New_York","2025-09-28","01:40:00 AM","4831664","319 Rogers Ave","The Sandwich Vibe","319 Rogers Ave  ","Brooklyn","NY","11225","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Restaurant Is Closed","Yes","-24.95","0.00","0.00","-1.95","0.00","-26.90","CQMAAAAAAEm5sDlE-XCcJRHwuXF5rDwvsucAAAAB","Restaurant closed"
"Marketplace","084131185016670","2025-09-26","08:28:48 PM","Friday","8 PM","America/New_York","2025-09-26","09:10:00 PM","2776412",,"Insomnia Buffalo Wings","1741 1st Ave  ","New York","NY","10128","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-49.54","0.00","0.00","-3.96","0.00","-53.50","CQMAAAAAACpdXBxUXJCbOBHwnJGXfEq0sv4AAAAB",
"Marketplace","542731143804025","2025-09-22","08:51:26 PM","Monday","8 PM","America/Los_Angeles","2025-09-22","09:40:00 PM","9815152","Mission","Leon's Legendary Pizza","3349 Mission St  ","San Francisco","CA","94110","Corporate","Grubhub Delivery","Loyal","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-16.79","0.00","0.00","-1.19","0.00","-17.98","CQMAAAAAAJXEcIP9jtCYMBHwjtFfZYHr4X4AAAAB",
"Marketplace","369431145928452","2025-09-23","12:41:27 AM","Tuesday","12 AM","America/Los_Angeles","2025-09-23","01:25:00 AM","10062176","Van Nuys Blvd","Perry's Pizza Parlour","9061 Van Nuys Blvd  ","Los Angeles","CA","91402","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-41.97","0.00","0.00","-3.60","0.00","-45.57","CQMAAAAAAJmJYJvI91CYUBHwt1ER1utQbNUAAAAB","Cancelled by Merchant"
"Marketplace","849631136224790","2025-09-22","06:51:26 PM","Monday","6 PM","America/New_York","2025-09-22","07:39:00 PM","6156616","10763 Bustleton Ave","Xiu's Vegetarian Chinese","10763 Bustleton Ave  ","Philadelphia","PA","19116","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-28.17","0.00","0.00","-1.85","0.00","-30.02","CQMAAAAAAF3xSMOMrACYBRHwrAHhqmLPwnsAAAAB","RESTAURANT_IS_CLOSED"
"Marketplace","774631165004615","2025-09-24","07:44:59 PM","Wednesday","7 PM","America/Chicago","2025-09-24","08:25:00 PM","2796118",,"The Dumpling Snob","9737 Manchester Rd  ","St. Louis","MO","63119","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Restaurant Is Closed","Yes","-17.18","0.00","0.00","-0.52","0.00","-17.70","CQMAAAAAACqqVtt2C2CZpxHwi2EHDla48ZEAAAAB",
"Marketplace","113631278401861","2025-10-05","11:14:52 PM","Sunday","11 PM","America/New_York","2025-10-05","11:43:00 PM","4517168","1741 1st Avenue","NY Smoothie Joint","1741 1st Ave.  ","New York","NY","10128","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-11.19","0.00","0.00","-0.99","0.00","-12.18","CQMAAAAAAETtMIuh2SCiYhHwmSHnEQBuvTAAAAAB","Cancelled by Merchant"
"Marketplace","359731239175832","2025-10-02","01:16:02 AM","Thursday","1 AM","America/New_York","2025-10-02","02:12:00 AM","3310559","Bedford Ave","Casa Pasta Ristorante","265 Bedford Ave  ","Brooklyn","NY","11211","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-40.17","0.00","0.00","-2.95","0.00","-43.12","CQMAAAAAADKD36fx6gCfThHwqgF51bugLPsAAAAB","Cancelled by Merchant"
"Marketplace","963231236847681","2025-10-02","10:20:06 AM","Thursday","10 AM","America/New_York","2025-10-02","10:48:00 AM","9824080","370 Main St","Addictive Burger Bar","370 Main St  ","East Orange","NJ","07018","Corporate","Grubhub Delivery","Returning","GH+","Transmission Issues","POS Failed Order","Yes","-15.38","0.00","0.00","-0.82","0.00","-16.20","CQMAAAAAAJXnULAfKFCfmRHwqFGbuEakgKYAAAAB","Third Party POS failed to receive"
"Marketplace","355831167501843","2025-09-24","11:54:24 PM","Wednesday","11 PM","America/New_York","2025-09-25","12:31:00 AM","3310271","9th Ave","The Gourmet Burger","468 9th Ave  ","New York","NY","10018","Corporate","Grubhub Delivery","New","non GH+","Restaurant Issues","Cancelled by Merchant","Yes","-27.98","0.00","0.00","-2.04","0.00","-30.02","CQMAAAAAADKCvxvTwGKZwxHwgGMddg4WOUgAAAAB","Cancelled by Merchant"
"Marketplace","444031235626862","2025-10-02","11:42:33 AM","Thursday","11 AM","America/New_York","2025-10-02","12:13:00 PM","7753808","Oakwood Bagels - 101 Guyon Ave","Doughboys Sandwiches","101 Guyon Ave  ","Staten Island","NY","10306","Corporate","Grubhub Delivery","Returning","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-38.75","0.00","0.00","-2.82","0.00","-41.57","CQMAAAAAAHZQUGs72XCfpRHwmXHr255ipc0AAAAB",
"Marketplace","055131235711284","2025-10-01","08:56:42 PM","Wednesday","8 PM","America/New_York","2025-10-01","09:21:00 PM","9824080","370 Main St","Addictive Burger Bar","370 Main St  ","East Orange","NJ","07018","Corporate","Grubhub Delivery","Returning","GH+","Transmission Issues","POS Failed Order","Yes","-16.07","0.00","0.00","-0.87","0.00","-16.94","CQMAAAAAAJXnUIUEdPCfKhHwtPG551-1nTgAAAAB",
"Marketplace","063131158624614","2025-09-23","11:20:22 PM","Tuesday","11 PM","America/New_York","2025-09-23","11:51:00 PM","2728293",,"Cheesecake And Dessert Bar","1760 3rd Ave  ","New York","NY","10029","Corporate","Grubhub Delivery","New","GH+","Restaurant Issues","Cancelled by Merchant","Yes","-11.99","0.00","0.00","-1.06","0.00","-13.05","CQMAAAAAACmhZVJ5gzCY9RHwgzHlCyUhq60AAAAB","Cancelled by Merchant"
